probe_id,gene_id
cg14822525,MRPL16
cg15254238,TET1
cg02572463,SEMA3E
cg26549552,KIAA0528
cg04757284,ZNF286B
cg03283048,FLYWCH2
cg05514299,MGAT5B
cg09327770,SLC38A1
cg07832761,RRN3
cg03412702,SENP8
cg03412702,MYO9A
cg10535564,SLC16A3
cg25021339,FLJ42709
cg05160935,MED30
cg16966139,LOC441897
cg17965530,CCL1
cg09032973,PCDHA1
cg22419039,ESRRG
cg20858961,TMEM114
cg11120293,ATP2A1
cg26162295,GSDMA
cg24243406,ZNF764
cg16284207,BASP1
cg16284207,LOC285696
cg06736785,PLXNA4
cg14517729,LINC01158
cg14517729,POU3F3
cg13605172,CEP120
cg13894192,CD81
cg23114817,KCTD18
cg01126407,KIAA0895L
cg01126407,EXOC3L1
cg03993171,SNORD50B
cg03993171,SNORD50A
cg03993171,SNHG5
cg19512521,SLC22A17
cg24206978,ZNF224
cg07684553,PRKCZ
cg03381023,PRKRIR
cg03381023,LOC100506127
cg17313945,HLA-DOA
cg02216322,COX8A
cg09438457,ZNF222
cg20905516,GUCY1A2
cg07463429,RAB3IP
cg04897713,DEFB136
cg07177430,ZNF195
cg04515618,OVOL2
cg16575175,MBP
cg04366619,PKN1
cg01158970,UTP15
cg01158970,ANKRA2
cg03462556,SLC16A9
cg06117341,CLDN9
cg05153345,RNASE1
cg26885274,C9orf89
cg04380576,HYAL1
cg07603922,C8orf48
cg24240981,L3MBTL2
cg03611307,MIR1205
cg03611307,PVT1
cg27468048,PAIP2
cg20331814,EIF3F
cg03739457,GRTP1
cg11497464,SKIL
cg12507325,PTGES3
cg12893736,GPRC5C
cg12069553,RHOA
cg12069553,TCTA
cg14938410,ADAMTSL4
cg07694982,FAT2
cg24528578,MYBPC1
cg06822963,TBC1D29
cg09028204,KCNS1
cg23611715,HSPA4
cg09510036,DGAT2L6
cg26531023,FBXL21
cg11334838,RAD51AP1
cg11334838,C12orf4
cg04648087,TSC1
cg01956154,ASB2
cg18109106,RNF103
cg02594687,RAD17
cg02594687,TAF9
cg25574812,ZNF501
cg16041286,C1orf59
cg17149920,GOT1
cg20522761,BAI1
cg01203767,FANCA
cg27294598,NDE1
cg06309822,TSPAN6
cg11453058,PODNL1
cg11453058,DCAF15
cg05378265,CELP
cg18508590,TMEM50B
cg10307548,SOD3
cg01436128,ZNF98
cg10849866,GPR176
cg09127400,IER3
cg04715391,SHISA5
cg04982781,RPL3
cg04982781,RNU86
cg22711679,RPA2
cg21425692,SLC35F2
cg14176575,BLCAP
cg08697297,LYG1
cg26508126,ZNF821
cg26508126,ATXN1L
cg25669164,GMFB
cg25495394,SAP18
cg02585897,LOC100147773
cg02585897,TMCO1
cg12271781,TMCO4
cg14838715,CSK
cg24578623,PNKD
cg24578623,TMBIM1
cg12551567,CDC25B
cg25880581,TEKT3
cg03506799,CHSY1
cg18741205,GALNT3
cg13715502,PTPN3
cg05293216,FANCG
cg23715505,NHLRC2
cg23715505,DCLRE1A
cg16055378,VSTM2B
cg16055378,LOC284395
cg01539036,NTSR1
cg23006223,C4orf14
cg23006223,POLR2B
cg05635923,SPG20
cg07029221,WWP1
cg01710742,LINC00992
cg18805285,FABP5L3
cg18805285,MLL3
cg24690563,GTF2A1
cg10607692,EREG
cg04259168,PLIN4
cg03965682,MEF2D
cg18504440,IGF1
cg25499397,GPR62
cg02348597,ARHGAP32
cg09217309,RAET1G
cg12847584,C20orf111
cg00503998,CPSF1
cg00503998,MIR1234
cg21331821,ZSCAN1
cg09040972,AAK1
cg09560294,TBC1D1
cg16008990,P2RY6
cg14586630,MTO1
cg23654112,TBC1D24
cg02917156,ANKRD11
cg04659467,PRRT2
cg23939697,NCK1
cg15283373,DTX3
cg25887294,CASP8AP2
cg22667436,AGBL3
cg19655486,SEMA3B
cg19655486,SEMA3B-AS1
cg02039712,PDCD7
cg13492070,MARCH4
cg08048517,KIAA0528
cg19958389,DHRS2
cg19318426,CTCF
cg23890506,ADAM15
cg23890506,DCST1
cg01981678,ZNF705B
cg21875455,PYY
cg24928100,ZNF148
cg07206145,MDN1
cg15457731,MUTYH
cg15457731,TOE1
cg21494913,SPATA13
cg08567104,CARS2
cg18861151,MANF
cg25262147,TSPAN18
cg09630051,NFKBIL1
cg09630051,ATP6V1G2
cg04726985,MIR708
cg04726985,ODZ4
cg26414731,PSMF1
cg27208256,INPP4B
cg21793239,PRMT7
cg21793239,SLC7A6OS
cg19275536,ICK
cg17585889,PCDHB7
cg12913429,DPF3
cg08262582,SFRS13A
cg26907429,ALDH9A1
cg11327054,FXC1
cg11327054,ARFIP2
cg03842309,TMC1
cg09276293,SYT2
cg08231710,MMP23A
cg08231710,MMP23B
cg00280548,STOX1
cg07111501,ERN1
cg23230018,LIN37
cg16013247,USP29
cg00562916,PTPN4
cg07201861,RBM47
cg20065463,DES
cg18791979,RALY
cg13980651,FHL1
cg25202354,DERL3
cg00725777,NGFRAP1
cg02324021,RASA1
cg11769885,HIVEP3
cg24102491,EME1
cg24102491,MRPL27
cg26898336,TEKT3
cg05582797,CMC1
cg26943378,HDAC10
cg19454646,C20orf195
cg00604851,PSMC5
cg00604851,FTSJ3
cg18208654,VAT1
cg05745632,KDM4D
cg05745632,CWC15
cg02341571,PATL2
cg09801607,CTPS
cg18454990,C7orf50
cg05970307,KIAA1191
cg03004552,TMEM68
cg03004552,TGS1
cg19377754,FOXP1
cg02643376,PLAC1
cg05782975,NGFRAP1
cg06072560,CSTF2
cg03028472,RERG
cg19384852,KDM4C
cg22666555,GRM4
cg08794265,CES4
cg16248329,FAT1
cg26135414,PPIL5
cg15600846,LINC00929
cg11829872,STRN3
cg11829872,AP4S1
cg00127867,MYO9A
cg01928078,IL10RB
cg15510468,GBAS
cg00471966,ZNF420
cg08862774,USP48
cg26206185,IL17REL
cg10438564,STATH
cg09750382,C20orf166
cg09750382,C20orf200
cg05187092,MAP3K13
cg12792526,NCRNA00111
cg09094385,UBE2J2
cg14502728,FRAS1
cg08193563,STK25
cg01215339,HDAC10
cg01215339,TUBGCP6
cg12285580,KRTAP5-10
cg00688810,SHBG
cg00688810,FXR2
cg24973846,C20orf12
cg24973846,POLR3F
cg03507113,ZIC5
cg19563452,OSBPL5
cg00830817,C11orf87
cg05884711,ATP6V0C
cg17448537,ZFAND3
cg04633600,SLCO4C1
cg21751047,SYNJ2BP-COX16
cg21751047,SYNJ2BP
cg27087572,LSM1
cg27087572,BAG4
cg00282787,ELOVL3
cg03210340,FLJ10357
cg27239147,TUSC4
cg27239147,CYB561D2
cg03598080,BCL11A
cg14277108,ZNF846
cg15564131,SATB1
cg20493265,LOC101930452
cg18258089,ZNF787
cg26108719,MXRA8
cg17821321,RASGRF1
cg18133309,CD300E
cg11772764,RSPH1
cg06018950,ESRRG
cg02689514,CBFA2T3
cg24778538,GRIN2B
cg13252549,MIR3675
cg02022181,C7orf50
cg02022181,MIR339
cg18726360,LINGO3
cg14792619,ANKS4B
cg08905447,ARMC2
cg08217526,C14orf64
cg00611397,GTPBP5
cg00782607,GAD1
cg06760162,FLJ35220
cg06760162,LOC100294362
cg02706575,CCL13
cg25870704,SYT13
cg24530787,PCDH11X
cg27090201,CXCL14
cg09128380,IL1RL1
cg14059835,C9orf78
cg14059835,USP20
cg07405083,RHBDF1
cg12233334,DALRD3
cg13886298,TH2LCRR
cg13886298,RAD50
cg15034216,CASK
cg15641998,HSD17B11
cg14712202,DISP1
cg21112796,ATP2B3
cg15069758,GSTM4
cg14388858,SGCE
cg14388858,PEG10
cg13362491,PKHD1
cg13510114,ZBTB25
cg13510114,ZBTB1
cg09314750,TFG
cg20888386,CRYBA2
cg02386983,KDM3A
cg06951805,WASL
cg15235373,PHTF2
cg15235373,TMEM60
cg05100596,PLLP
cg16995983,NR2F1
cg23235142,CCM2
cg02177646,ATL3
cg20527151,STRADA
cg02721665,GPR26
cg04285318,STAT4
cg09598844,MORF4L2
cg12483667,STRA13
cg12483667,LRRC45
cg24542360,MSH5
cg24542360,C6orf26
cg12663321,DMBX1
cg04673446,MGAT3
cg11017285,VGLL2
cg20333067,ZNF207
cg20333067,MIR632
cg23513814,GRIN2C
cg24606371,ULK4P3
cg24606371,ULK4P2
cg24606371,ULK4P1
cg15952483,RHBDD2
cg03341469,YIPF1
cg16698201,SNORD50B
cg16698201,SNHG5
cg16698201,SNORD50A
cg07392385,SORCS1
cg00965756,CCDC71
cg03921599,MIR1908
cg03921599,FADS1
cg05408831,LTC4S
cg07150538,MXI1
cg07161071,IRF5
cg00873974,ZNF605
cg23341612,HKDC1
cg05471845,CCK
cg25173993,ZBTB46
cg08802408,TBL1XR1
cg03893150,TNFRSF25
cg03893150,PLEKHG5
cg22798707,ELAVL2
cg12564026,EFNA5
cg10538151,GRIN1
cg10267925,C11orf93
cg10267925,C11orf92
cg25719848,PDIA6
cg11437374,CCDC99
cg09728459,MPV17L2
cg24014143,KLHL1
cg24014143,ATXN8OS
cg25515502,RASA1
cg09523446,FUT10
cg23448096,LYSMD4
cg06251321,HIVEP3
cg25334257,EMX2
cg25334257,EMX2OS
cg13398782,E2F2
cg20362559,TMEM127
cg20362559,CIAO1
cg23636099,MGC13005
cg00830170,INPP5E
cg00830170,SEC16A
cg16399922,GYPE
cg10155537,OR14C36
cg21856275,MRPS2
cg21856275,C9orf116
cg02410825,C20orf72
cg02410825,SNX5
cg03998534,SLC7A4
cg22239334,CNTD1
cg22239334,CCDC56
cg04616717,MEA1
cg04616717,KLHDC3
cg19864487,DOLPP1
cg17491850,DAB1
cg24654963,HBP1
cg22376389,PIRT
cg12682976,LINC00987
cg07997936,HIST1H2BE
cg27550783,SS18L2
cg19903604,ARHGEF4
cg13960711,KCNJ6
cg20072241,RAB3GAP1
cg00432497,ANKRD11
cg14350257,GPSM1
cg17987176,CACNA1E
cg18378372,C5orf30
cg27450667,MCM6
cg10406144,MRRF
cg10406144,RBM18
cg13559259,FAM59A
cg11939631,RUFY1
cg27090150,ZNF444
cg20600210,APCDD1L
cg06937978,NFATC1
cg16411895,IQUB
cg08496742,CCDC106
cg21889054,NUMB
cg04182207,CLCN1
cg08109855,USP42
cg07078789,MICB
cg13081498,HSPB7
cg01874871,IDH3B
cg09764697,SORT1
cg24818238,SRMS
cg10774974,ATP2C1
cg07978099,OSGIN1
cg14615553,JAKMIP2
cg09890088,CNOT8
cg25843477,CEP152
cg05116756,TP73
cg03440588,FOXD2
cg03440588,MGC12982
cg07264904,MCF2L
cg09405661,KCNMA1
cg21445049,ELANE
cg22334559,ZNF345
cg22334559,ZNF790
cg20102296,ARF4
cg05165025,C14orf43
cg19932650,RGS5
cg19932650,LOC101928404
cg11248473,SFI1
cg27578341,RASD1
cg16506703,CHST6
cg01976034,ASB14
cg04652496,RCAN2
cg25504129,SH3BP5
cg21864259,ERC2
cg09333871,PTCH1
cg00822998,IQSEC2
cg11125146,CITED2
cg16401529,PABPC5
cg10990660,GRK7
cg02474183,PDHX
cg02474183,APIP
cg03162092,C20orf123
cg16955692,PPP2R3A
cg03938375,IQGAP2
cg05495949,RADIL
cg18623118,ILF2
cg24642196,PPOX
cg18059301,LTA4H
cg04439623,CR2
cg14139125,PDCD2
cg02146001,GATA5
cg02491692,HOXC6
cg02491692,HOXC5
cg02491692,HOXC4
cg02518671,SIRT6
cg02518671,ANKRD24
cg06745124,SLCO2A1
cg02663224,LOC102467081
cg02663224,GZMK
cg11289747,HIVEP3
cg07430237,SLC9A8
cg09138627,GIGYF2
cg09335306,SCYL3
cg05859565,RUFY4
cg11919138,ATP5E
cg17683427,NTM
cg19963510,NOS3
cg12368524,IL12B
cg14821500,RAB3IP
cg14821500,LOC101928002
cg26127231,SLC38A4
cg25733915,PLEKHH3
cg16309248,E2F3
cg09279412,CUX1
cg18646193,RPS2
cg18646193,SNORA64
cg18646193,SNHG9
cg18646193,SNORA78
cg12389112,FYN
cg18744802,PIN1
cg08728761,UTP15
cg08728761,ANKRA2
cg17654294,UBE2V1
cg17654294,TMEM189-UBE2V1
cg20352718,ZMIZ1
cg18319687,MIR1229
cg18319687,MGAT4B
cg09763761,AMACR
cg09763761,C1QTNF3-AMACR
cg17797395,GRIP2
cg19965221,TJP1
cg16846691,ITPR2
cg21001614,ARHGAP24
cg09723155,C17orf90
cg09723155,CCDC137
cg00617875,PCDHB6
cg11604128,ARPC3
cg11069855,SLC7A1
cg19714279,GBX2
cg06242242,PRKAR1B
cg06242242,HEATR2
cg09144905,SLAIN1
cg08745665,ZNF518B
cg26435646,A2MP1
cg09414557,AGXT2
cg16197653,WDR27
cg16197653,C6orf120
cg08585380,SNORD50B
cg08585380,SNHG5
cg23721088,ZMIZ1
cg02438591,TRAF7
cg02438591,SNORD60
cg17638137,TCERG1
cg01717973,OAZ3
cg01717973,MRPL9
cg23351853,ATP11B
cg01444765,C21orf33
cg12860092,TANC1
cg22834109,CXCL8
cg08929083,ACOT13
cg08929083,TTRAP
cg00826842,FITM2
cg16673286,CDK11B
cg10751856,FAM83D
cg05996419,MID1IP1
cg11095897,TFAP2A-AS1
cg11095897,TFAP2A
cg20990527,PDXDC1
cg07550662,PSMA6
cg08672533,CNTN5
cg27406618,FAM170B
cg17000593,RASL10B
cg24100636,PRMT8
cg02632800,THY1
cg18844614,USP49
cg05364533,AURKAIP1
cg23715673,SEC13
cg22425467,TRIM15
cg22380613,SPATS2
cg03582047,GLP2R
cg23719318,GDF7
cg25262396,UBASH3B
cg19038506,ZNF557
cg14610884,TSPYL4
cg16699281,ITGA5
cg16699281,LOC102724050
cg01127610,MGAT4C
cg14212180,NFIC
cg10445487,GABARAPL2
cg07931460,TAOK3
cg13082958,ZNF333
cg16267121,MTRNR2L3
cg16267121,RAE1
cg02031397,HIVEP3
cg26061898,ZNF24
cg10057685,SERF2
cg10057685,MIR1282
cg10057685,SERF2-C15ORF63
cg09533597,TAGLN3
cg13800130,SEMA4D
cg02040012,MORC1
cg14559881,RAB4A
cg05005023,CDC20B
cg05005023,MIR449C
cg20217549,RGS4
cg17935210,ZNF446
cg13466755,TSPYL2
cg01081079,COG4
cg01081079,SF3B3
cg12626920,KDM6A
cg04306564,DPYSL3
cg26251909,KIAA0754
cg26251909,MACF1
cg10442268,ANKRD37
cg21585936,PPP2R2B
cg13915730,SDHB
cg05628795,GIT2
cg16254330,PSG3
cg15555926,APEX2
cg13750140,SCMH1
cg06035839,SEMA6C
cg13629645,IMPDH1
cg17221233,TMEM150B
cg22523743,ZNF718
cg22523743,ZNF595
cg17184220,PKD2
cg08439574,CHRM3-AS1
cg08439574,CHRM3
cg18157773,WBP4
cg01406312,CSPG5
cg13635022,ZNF462
cg10129063,PRDM8
cg04779184,VCAN
cg00064235,FLJ41350
cg00064235,LBX1
cg09554443,CD247
cg20706599,CIB1
cg20706599,C15orf58
cg17709871,NRCAM
cg09542745,SFRP5
cg03587293,TPRN
cg21217225,C10orf119
cg08272783,DKFZp779M0652
cg21043256,PARM1
cg09222486,PLCB4
cg00591153,SHOX2
cg25824310,REEP6
cg25824310,PCSK4
cg04880050,MRPS16
cg04880050,DNAJC9-AS1
cg16226962,TFAP2A
cg14741228,FAM60A
cg14741228,FLJ13224
cg24045861,HKR1
cg07007882,C1orf93
cg13385408,CHN2
cg08854560,PICK1
cg02060618,BMP15
cg20941843,INCA1
cg20941843,KIF1C
cg02189951,LOC100130581
cg17418707,CPPED1
cg16915821,DKK3
cg21963720,BBS5
cg23657252,BMP2K
cg26273962,SORBS1
cg11207744,ATRX
cg22896991,IGF2BP1
cg13938098,LAMA4
cg27362041,ALYREF
cg27362041,ANAPC11
cg17482391,RBM15
cg19881386,NR0B1
cg20518903,HPGD
cg06687840,PFAS
cg06687840,CTC1
cg25035008,ADH5
cg25035008,LOC100507053
cg12066477,SLC46A2
cg09216381,MFN2
cg13539030,ARL4C
cg09135399,APOBEC3H
cg10209441,PRR5
cg15128226,FGF2
cg13913332,EN2
cg00369357,CHKB
cg00369357,CHKB-CPT1B
cg00369357,CPT1B
cg12195369,ISOC2
cg05458429,BAI1
cg06911121,TBX5
cg22045714,SERPINB6
cg11179625,C11orf9
cg11179625,DKFZP434K028
cg26870756,ZNF675
cg08867705,HIVEP3
cg04868167,SPATA18
cg04595163,PPM1M
cg23356920,EIF4G1
cg04648747,TBC1D15
cg07447779,LIMS1
cg00900124,ANXA4
cg03716942,GNB1
cg11849422,PALM2
cg11849422,PALM2-AKAP2
cg10420398,TRAPPC6B
cg05210910,ZKSCAN5
cg04654829,LINC01167
cg04654829,LINC01166
cg07115558,TLE2
cg00955482,ENOSF1
cg09399047,NDUFAF3
cg09399047,DALRD3
cg17858865,ZNRF3
cg16101252,ILKAP
cg27234239,RALB
cg14895876,MAP4K3
cg13089504,LRRN2
cg20876003,C17orf50
cg03904776,ZNF330
cg16228804,PKN2
cg01414289,PLXNC1
cg15488122,GPR4
cg22829671,CXCL3
cg09569536,RIMKLB
cg09510577,TFDP2
cg25468529,SLC25A23
cg11684264,CUZD1
cg11684264,FAM24B-CUZD1
cg15112460,TBL1XR1
cg03552658,CHMP2A
cg18865796,TMEM205
cg18865796,CCDC159
cg13995319,YES1
cg23100375,ABCB9
cg00564831,CDC7
cg27307183,CDYL
cg23227945,NFKB2
cg05593411,PDE4D
cg23182559,CCNA1
cg00565070,PDE4A
cg12908968,FYTTD1
cg19830192,C3orf67
cg19001703,UTP15
cg19001703,ANKRA2
cg16974909,WDR17
cg18421160,ACACA
cg06953601,TRAM2
cg08646372,USPL1
cg01684881,FZD2
cg25017976,CKS1B
cg25017976,SHC1
cg14606117,DUSP14
cg07156844,MGC23284
cg07156844,MVD
cg12936746,HHIP
cg25558461,CLEC3A
cg18211003,CFHR3
cg17198372,PPEF1
cg04562662,LOC554203
cg11918751,CRB1
cg17506328,CKAP5
cg21417627,GLT25D2
cg08723913,MIR568
cg20843286,BLOC1S2
cg11155812,DDX51
cg11155812,NOC4L
cg27037565,DNAJC6
cg12133022,NDUFC1
cg12133022,NAA15
cg26351406,PRDM1
cg22118359,TCP11L1
cg21424090,TREH
cg04982166,CST9L
cg09900314,RNF10
cg15352315,CD302
cg14241810,LPPR5
cg23010183,FOXN3
cg10084770,OR1C1
cg05851240,CNDP1
cg05959138,PALLD
cg16654676,ATP5L
cg16654676,LOC100131626
cg23923311,NEU4
cg00914777,MOAP1
cg00914777,C14orf109
cg25816468,PBXIP1
cg16465769,SLC22A7
cg10692694,AP2B1
cg26987697,NFXL1
cg03571927,DPY19L2P4
cg22731393,MIR4738
cg22731393,UNK
cg08798933,USP12
cg17747187,NRARP
cg17891968,BANF2
cg02406084,KBTBD2
cg15237265,TCF4
cg03875006,GGTLC2
cg03875006,POM121L1P
cg12970815,CLEC18C
cg12970815,LOC400541
cg09511768,LOC105447648
cg00019838,A2BP1
cg13579625,TGIF1
cg18369629,FAM163A
cg10115894,SIRPA
cg17775619,CFAP99
cg06949739,ILF3
cg06949739,LOC147727
cg25219750,DNAJC27
cg25219750,DNAJC27-AS1
cg24780445,C20orf132
cg24780445,RPN2
cg21120848,FAM135A
cg10825293,GLI4
cg09266113,YIPF1
cg10957918,DHX37
cg04688815,LOC100132163
cg15820974,KANSL3
cg14399183,GSN
cg24151048,BTBD6
cg24151048,BRF1
cg09471116,WDYHV1
cg21794048,CHMP2A
cg19273454,LILRP2
cg03895540,OR52N2
cg01591470,CTAGE5
cg01642461,SPTB
cg04427512,PMS2L3
cg01114217,PLEKHG1
cg15184796,SLC29A1
cg02207494,IL34
cg03724260,ZBTB4
cg03724260,POLR2A
cg25589651,TRIM27
cg12578182,AARSD1
cg12578182,RUNDC1
cg09414827,TMEM140
cg21465470,FUNDC1
cg22713941,C2orf49
cg04137171,ADAMTS7
cg24673465,ZNF263
cg20139425,ACBD4
cg22040158,KCND3
cg13179549,KRT16
cg01263854,MC3R
cg14836905,PHRF1
cg00388248,KCNJ18
cg00388248,KCNJ12
cg19788638,LEP
cg05961022,ZNF101
cg13252516,MMP27
cg13125884,CT62
cg22766080,NEFH
cg08244382,MIR127
cg08244382,MIR433
cg08244382,RTL1
cg12876333,NEDD4L
cg11336323,ATP5SL
cg01196858,SCRN1
cg06110365,TTLL12
cg05575876,RAMP1
cg10379112,TMEM159
cg10379112,DNAH3
cg13297865,ELOVL4
cg16610041,FAAH
cg23991622,VIM
cg19278744,CCNG2
cg23016766,RBBP4
cg23016766,ZBTB8OS
cg09881021,ZDHHC16
cg09881021,EXOSC1
cg21088514,KCNE1
cg01798391,OXNAD1
cg01798391,DPH3
cg24787924,MIR518E
cg03981352,SPATA5L1
cg02004979,ZBTB38
cg14787477,NAGLU
cg24448113,PCDHB2
cg19094555,RFX7
cg16231452,TCP11L2
cg26162150,LIG4
cg05161004,ESRRB
cg19712821,FGFBP2
cg20912123,ADORA2A
cg20912123,ADORA2A-AS1
cg20912123,SPECC1L-ADORA2A
cg25927711,LAS1L
cg07904983,BFSP1
cg25983531,AOAH
cg24235613,VARS
cg08623888,PIP5K1A
cg12159575,UHRF1
cg01626569,LYRM1
cg01626569,DCUN1D3
cg04112889,ARL6IP1
cg02120774,IGFBP3
cg23585910,THYN1
cg23585910,ACAD8
cg05598468,TRAPPC2
cg05598468,OFD1
cg10232265,CTBP2
cg12465643,SDK2
cg00448525,NLRP3
cg09951650,AP4E1
cg10658515,SSUH2
cg21970802,WARS
cg14975318,NUCB2
cg09842118,RNASE3
cg13141188,HTR4
cg16514838,C16orf45
cg08451870,ZBTB39
cg05736120,PHF10
cg01119104,PRHOXNB
cg07732306,PNOC
cg19618123,CCAR1
cg03262246,CDKN2AIPNL
cg00195561,CHRM4
cg09929262,GPR1
cg09929262,GPR1-AS
cg26213561,MIR1915
cg26213561,C10orf114
cg21727899,FAM72D
cg21727899,FAM72C
cg02550200,MIS12
cg02550200,DERL2
cg04894671,ROBLD3
cg04894671,UBQLN4
cg17417787,ACAD10
cg17417787,BRAP
cg04269510,CCR6
cg06902379,SLN
cg08468991,CLCC1
cg08956510,NME1
cg08956510,NME1-NME2
cg20505704,RBFOX1
cg13617705,SMEK2
cg15327641,ALLC
cg02182361,FAM110A
cg04737361,BARD1
cg04715778,NVL
cg21477033,NCRNA00219
cg21477033,SNORA13
cg15372476,FAM49B
cg03320773,HUNK
cg11672225,RNF185
cg15709587,RCAN1
cg05273351,LINC01491
cg14089110,ASGR2
cg11038073,LIPG
cg01002634,LSM14B
cg14054320,COQ10B
cg01726823,ACTR2
cg09354405,CDK2AP1
cg20123729,GFER
cg12710567,SIRT7
cg12041056,MIAT
cg00573086,WHSC2
cg05367846,MICAL3
cg01204391,MCOLN3
cg23224090,SLC16A3
cg14653250,PC
cg16114709,KLHL29
cg22408278,NCRNA00171
cg22408278,ZNRD1
cg12045430,WASH5P
cg23525905,TRIM32
cg23525905,ASTN2
cg12569089,RBL1
cg02247870,C16orf53
cg05060646,ANKRD62
cg05241828,GPT
cg11138731,NECAP1
cg16602369,ANKRD33B
cg18052878,LRRC10B
cg18883209,PARVB
cg19494100,RNF144B
cg04793916,MAP3K9
cg08842495,ZNF232
cg08842495,USP6
cg20757176,MYH6
cg21012000,SLC22A23
cg24738082,CRHR1
cg24738082,MGC57346-CRHR1
cg21334075,UBE2Q2
cg10421629,CACFD1
cg09366145,VARS
cg15810163,KRI1
cg04873514,PTER
cg22796834,FAM138B
cg02710571,CCDC140
cg18475036,ERCC2
cg26207503,MYF5
cg19219661,PPRC1
cg22588307,SLFN13
cg05530021,COX11
cg05530021,STXBP4
cg05572621,KRTAP6-2
cg05572621,KRTAP22-1
cg16592713,PDCD5
cg27357259,SOX13
cg27200006,GGT1
cg06653796,LIME1
cg01756770,TRPV1
cg12396969,TRNP1
cg14848284,EMX1
cg26179022,MAX
cg00021895,C17orf62
cg26363196,ST6GALNAC3
cg21186775,ZAK
cg02505871,FAM110B
cg06623486,UAP1
cg15961849,QRICH1
cg04364504,C16orf57
cg04364504,ZNF319
cg16628838,FUT8
cg16299807,RAB9A
cg20936475,MANF
cg04439776,TYSND1
cg04234238,PSMD7
cg13262310,SEPT4
cg14678829,PGCP
cg13666395,ZNF664-FAM101A
cg23508885,FAM90A1
cg01268541,ANK2
cg01311181,PARVG
cg20097440,CYP26B1
cg24789224,USP15
cg24789224,MIR6125
cg06835822,KCNA10
cg07396903,TACC1
cg08260941,SIN3A
cg09941848,CORO7
cg27046034,ZNF586
cg08167279,MAP3K7CL
cg22992505,ACVR1
cg26909299,HTRA2
cg26909299,AUP1
cg21815479,EIF4EBP1
cg07479750,PRAMEF11
cg21194723,TMEM109
cg03012879,HMGCR
cg15027190,LRRC8C
cg23977821,C2orf44
cg00699981,C9orf116
cg00699981,MRPS2
cg18805665,YPEL1
cg09429522,BAI3
cg08862564,CREB1
cg03933676,TEKT5
cg21725265,HOMER3
cg16752652,SLC12A2
cg16752652,FLJ33630
cg06479653,NAPG
cg22525581,HOXC4
cg13082246,NHLRC2
cg13082246,DCLRE1A
cg01534799,FLYWCH1
cg18711066,NFATC3
cg17662883,ACOX3
cg14802876,C6orf1
cg19718090,LOC149684
cg19718090,KIAA1755
cg13901750,ATL2
cg01242848,MEF2C
cg01242848,MEF2C-AS1
cg02052242,TSPAN9
cg03166566,RHOD
cg16039972,MIR769
cg18367110,WDR77
cg18367110,ATP5F1
cg01320780,PPP3CC
cg15760840,HOXA11AS
cg15760840,HOXA11
cg25378465,CRAT8
cg01244816,ARPC5L
cg20012089,FBF1
cg26902323,RTN4
cg12688788,FANCF
cg14605795,OR2T11
cg09661370,HOXA11AS
cg09661370,HOXA11
cg17198304,VANGL1
cg18243046,PCGF5
cg04992127,IRX2
cg04992127,C5orf38
cg02340063,RPL23
cg02340063,SNORA21
cg04504441,FSTL4
cg09421347,MSRB3
cg04844495,TOR3A
cg12130935,LY6E
cg12130935,LOC100133669
cg18532308,MYO1F
cg11100685,URM1
cg11100685,MIR1268A
cg21569749,AHNAK
cg02124446,C16orf74
cg06480592,SUFU
cg06480592,ACTR1A
cg03428864,RARB
cg00980696,PRR5
cg00980696,PRR5-ARHGAP8
cg04028010,BCR
cg06742978,ACCN2
cg12447069,S100A11
cg17026287,NRP1
cg06032735,PRSS35
cg07195090,SLC39A13
cg18348274,C7orf42
cg21236247,KIAA0232
cg01311718,IKZF2
cg27522009,ADGRF5
cg19649534,CTCFL
cg22206855,ARMCX3
cg15859995,GSTA5
cg22831726,ZNF718
cg21263146,LDLRAD3
cg24410546,PNMA2
cg11731939,CABC1
cg00120804,TSPAN9
cg10378667,PSMD9
cg04986864,NOVA2
cg15939860,OR7C2
cg01121830,RPGR
cg16961218,ATP9B
cg09971156,ACVR1
cg02096434,CHD9
cg17765494,ITGAD
cg06764333,EYA4
cg27472701,MET
cg03494648,C11orf21
cg03494648,TSPAN32
cg12850242,PCYOX1
cg06449742,CCDC137
cg06449742,C17orf90
cg23387213,CADPS2
cg23387213,RNF133
cg03908356,TTC39B
cg02355049,CGB1
cg02355049,SNAR-G1
cg06612871,GPX7
cg12865289,GTF2E2
cg23352191,DCAF7
cg15308926,GPSM1
cg10924277,SSR3
cg01084813,RANBP1
cg01084813,TRMT2A
cg25964040,ZNF717
cg05223249,PFKFB1
cg09283376,CDK11B
cg03971994,DAGLA
cg16168723,METTL4
cg16168723,NDC80
cg05098011,OAZ3
cg05098011,MRPL9
cg03405560,ZNF267
cg14127188,FCN2
cg11449925,MEPE
cg00684790,PRR25
cg21355508,NDUFB11
cg21355508,RBM10
cg07588442,PRPF19
cg26812362,RPS6KA2
cg04915079,KIAA1683
cg04827379,C10orf96
cg15032001,CEBPB
cg10972431,CLYBL
cg22655853,ATG3
cg22655853,SLC35A5
cg06844939,FEM1B
cg16456870,PER3
cg10862018,ADPGK
cg02176280,KLHL29
cg10538533,KRT1
cg18775539,ZNF596
cg18775539,RPL23AP53
cg06594736,FUT2
